	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11	z12	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
z1	0	0.245725733417492	0.210335647830502	0.297875843899226	0.37680085617848	0.412721934085234	0.612832404840967	0.514338245382948	0.410361954940863	0.405727301417418	0.349770862490052	0.351737764300709	0.509116871704745	0.642219081466032	0.609489702108975	0.497644392555456	0.554417659656252	0.57247759309332	0.622733698412045	0.572608755317689	0.565919134802778	0.502106924713472	0.498118907043801	0.638918236577434	0.669493386025578	0.65467843078063	0.638830954994511	0.656282593182193	0.67421311160506	0.701794829573522	0.623804492501063	0.646066028156645	0.656888035126235	0.647228320526893	0.648632702624827	0.683479692645445
z2	0.245725733417492	0	0.282165989680536	0.430990476713231	0.42307903402854	0.414983534577388	0.575223667599759	0.48655323819978	0.383781558726674	0.386390768006367	0.280625686059276	0.34661562315619	0.529781683372237	0.627499142367067	0.612195891707946	0.487933189566364	0.566019604074572	0.590584036785396	0.628487901288791	0.560026349014657	0.550535273126544	0.471758198015181	0.449442522106882	0.631032258949766	0.693525811674946	0.65096397941681	0.635939515354428	0.689567150660116	0.679720087815587	0.680736613881494	0.57853859348199	0.62003951918327	0.635692527237301	0.623590109498065	0.654413479877605	0.668788934932353
z3	0.210335647830502	0.282165989680536	0	0.276025799368739	0.379164608375871	0.391953455184148	0.516933801734548	0.422937592623086	0.340551073055601	0.275259698379372	0.242274548548219	0.224041166380789	0.48043281245709	0.552057745879705	0.5779506813223	0.497163422574486	0.487437875834043	0.5729639950035	0.611227781209251	0.51078722002635	0.488827275721972	0.471097750140702	0.523563660331759	0.566380789022298	0.670179772197063	0.580491553567263	0.607926009276285	0.655211221212703	0.619353422251496	0.623713462330177	0.583922273606785	0.590103194642661	0.613881494085682	0.615857507478662	0.63326243567753	0.620468205395614
z4	0.297875843899226	0.430990476713231	0.276025799368739	0	0.209692911441038	0.305030324652158	0.578724922468919	0.455802848596284	0.345563818985153	0.373118353344768	0.428936030077664	0.367262648023382	0.573048827374087	0.60435277812084	0.596048027444254	0.591324294995948	0.535310269082921	0.543409331118828	0.581948199898431	0.570362034419345	0.566856076203025	0.579113533101811	0.613709389503749	0.593973407247829	0.655642770885937	0.619831762106679	0.667846753389319	0.615310715854194	0.618238700293641	0.659100889230431	0.658776227134878	0.654801438098636	0.655689115758274	0.657061309621823	0.646143502065123	0.642296503650036
z5	0.37680085617848	0.42307903402854	0.379164608375871	0.209692911441038	0	0.178612589868833	0.555159165751921	0.444020635530432	0.27899127380495	0.37226437617486	0.469458317326162	0.420578186957178	0.577834527830409	0.602766228954843	0.558074120827102	0.596220143667505	0.576641133349806	0.504659685145281	0.517258416480244	0.553683170490723	0.583717610891524	0.583732517122583	0.618821397188049	0.558744837616454	0.60380361700376	0.628864281891903	0.674734502346258	0.583422533278441	0.581801218374403	0.660144350832899	0.670549815447523	0.665175631174533	0.642545484481765	0.62158008836201	0.606218185310703	0.642161301830356
z6	0.412721934085234	0.414983534577388	0.391953455184148	0.305030324652158	0.178612589868833	0	0.504994511525796	0.402392843422425	0.23173810438505	0.362577352121952	0.452527303660611	0.416324794533705	0.574868879918719	0.567529741077677	0.494930091519052	0.59924183114261	0.562693902204651	0.466723397246737	0.461070776663053	0.539356680206389	0.575730127360562	0.574865833070261	0.615608523725835	0.501639614176145	0.567578693158429	0.618600694301513	0.67583216706457	0.541237820776726	0.537017726798749	0.632618897335273	0.665116151429081	0.659989023051592	0.628769792266952	0.584698553826734	0.560528518310168	0.618561510386652
z7	0.612832404840967	0.575223667599759	0.516933801734548	0.578724922468919	0.555159165751921	0.504994511525796	0	0.303347969264544	0.393441273326015	0.42225942341205	0.450027442371021	0.467006956736508	0.608979816009886	0.512754716981132	0.576272349300877	0.642075189209236	0.609565909777326	0.66058609566948	0.633703454617824	0.553329307789427	0.565550370573703	0.591423826060698	0.671472510572857	0.500761536245009	0.742981035760353	0.615670668953688	0.693789621010456	0.744050723245409	0.615312843029638	0.504761643384472	0.666607204116638	0.652423294363028	0.663300310107303	0.640248085842092	0.681005502270887	0.583413375778699
z8	0.514338245382948	0.48655323819978	0.422937592623086	0.455802848596284	0.444020635530432	0.402392843422425	0.303347969264544	0	0.242110751330882	0.310245468640661	0.367844794467922	0.344895243060796	0.549880550292446	0.488988597538386	0.499924534515169	0.58067218811378	0.548554484803558	0.570759961020601	0.574159724414312	0.484520803600834	0.50485836627141	0.534101047256955	0.613768673110721	0.506716243842872	0.669996432393864	0.580290618696744	0.663593205455394	0.665541375051461	0.568080785906372	0.529377864376081	0.618134167592859	0.589571899012075	0.599956093411268	0.58623528443237	0.596503985840319	0.523339096073104
z9	0.410361954940863	0.383781558726674	0.340551073055601	0.345563818985153	0.27899127380495	0.23173810438505	0.393441273326015	0.242110751330882	0	0.249680986814122	0.334284616651117	0.310291837602733	0.549770711480902	0.512973558912718	0.477778844966452	0.568640377985633	0.553798424072701	0.526619909688577	0.518905342903806	0.492370183335163	0.52209595959596	0.532701044511852	0.595727152899824	0.510146399023092	0.620763467713164	0.592667297849861	0.665870859745891	0.603101413476053	0.573129905054607	0.587365185652735	0.632541610066	0.616053787047201	0.596525891166543	0.573282840756291	0.568239507155304	0.563294091819654
z10	0.405727301417418	0.386390768006367	0.275259698379372	0.373118353344768	0.37226437617486	0.362577352121952	0.42225942341205	0.310245468640661	0.249680986814122	0	0.250860992576941	0.189544456641054	0.506501352446074	0.459931939184368	0.547764757539998	0.556398000109884	0.52497837815576	0.572444273635665	0.597062860279989	0.458919430759308	0.467369374562523	0.512229939330716	0.594200112592511	0.540724478594951	0.669571183533448	0.546819254624293	0.605455618216496	0.671373872946601	0.580411904337207	0.528617495711835	0.581508315494813	0.545096532513687	0.572716420368007	0.559653672525693	0.615806805708013	0.554165123012116
z11	0.349770862490052	0.280625686059276	0.242274548548219	0.428936030077664	0.469458317326162	0.452527303660611	0.450027442371021	0.367844794467922	0.334284616651117	0.250860992576941	0	0.202310552529396	0.499958810445671	0.513440085621372	0.573057449815453	0.51205241254275	0.501963045328501	0.606088472254629	0.628618091486763	0.474722801624767	0.451361440491875	0.439504783342712	0.494452987697715	0.557372775544366	0.712615604160378	0.591432374209306	0.617244312724678	0.713187868807465	0.631633829098293	0.588929443727874	0.554768863458609	0.560098792535675	0.597513789413024	0.600285392826761	0.65333479686621	0.603303970802119
z12	0.351737764300709	0.34661562315619	0.224041166380789	0.367262648023382	0.420578186957178	0.416324794533705	0.467006956736508	0.344895243060796	0.310291837602733	0.189544456641054	0.202310552529396	0	0.521892548707317	0.520349076538873	0.563199780461032	0.549789852484685	0.521614386711511	0.594663592193033	0.627926765666603	0.484870524625708	0.475591177964124	0.492093993631273	0.569249358103006	0.565791279053813	0.694910602796493	0.595104146656055	0.638808468599498	0.695727950157131	0.622655488934319	0.597513618837219	0.598342435302835	0.578589168347535	0.59336452573373	0.595532443297979	0.634450207184216	0.601048284189295
x1	0.509116871704745	0.529781683372237	0.48043281245709	0.573048827374087	0.577834527830409	0.574868879918719	0.608979816009886	0.549880550292446	0.549770711480902	0.506501352446074	0.499958810445671	0.521892548707317	0	0.314586222521248	0.385756065411707	0.199582170787691	0.204818946095939	0.392739908527792	0.453723922925851	0.233912828540826	0.22196280934985	0.249000782891755	0.320353933664917	0.395850781925775	0.601417037403197	0.468014115256285	0.509693541300527	0.591815435319967	0.539775379630392	0.570577250508046	0.514231968034711	0.48889194013456	0.506233523725835	0.480612917398946	0.54699106174399	0.549456282952548
x2	0.642219081466032	0.627499142367067	0.552057745879705	0.60435277812084	0.602766228954843	0.567529741077677	0.512754716981132	0.488988597538386	0.512973558912718	0.459931939184368	0.513440085621372	0.520349076538873	0.314586222521248	0	0.337202920028542	0.412955688030549	0.289054241429964	0.475718560408488	0.470367015290016	0.175127286700427	0.212698499842161	0.353017075715149	0.475249564035317	0.298224429869096	0.683229728431655	0.493948458984	0.593012884723575	0.672627461744322	0.558308977894867	0.491444019046835	0.575706013118533	0.516322469982847	0.553988226738203	0.514195150733428	0.592030516754027	0.524184584985661
x3	0.609489702108975	0.612195891707946	0.5779506813223	0.596048027444254	0.558074120827102	0.494930091519052	0.576272349300877	0.499924534515169	0.477778844966452	0.547764757539998	0.573057449815453	0.563199780461032	0.385756065411707	0.337202920028542	0	0.461568045711774	0.355737682412861	0.302294937959811	0.338073016744441	0.317652225226091	0.361304401531684	0.418672962363082	0.49770009199632	0.323765093304061	0.552768439108062	0.56323069323234	0.653507869207865	0.513359957182264	0.526707921131708	0.585289879931389	0.623689554860311	0.601547813439082	0.575433252377228	0.499910811070404	0.441053787047201	0.544971802576874
x4	0.497644392555456	0.487933189566364	0.497163422574486	0.591324294995948	0.596220143667505	0.59924183114261	0.642075189209236	0.58067218811378	0.568640377985633	0.556398000109884	0.51205241254275	0.549789852484685	0.199582170787691	0.412955688030549	0.461568045711774	0	0.290796905275598	0.441675139457558	0.492842030060726	0.344158252627241	0.31149793232308	0.253888430887606	0.256161088584977	0.449853034090597	0.644702682655458	0.536166588829977	0.54700913398805	0.639251026884453	0.599296770914885	0.631763299954671	0.542649927199802	0.549826243424035	0.577419133301284	0.556349151843967	0.603768920143944	0.604395302520431
x5	0.554417659656252	0.566019604074572	0.487437875834043	0.535310269082921	0.576641133349806	0.562693902204651	0.609565909777326	0.548554484803558	0.553798424072701	0.52497837815576	0.501963045328501	0.521614386711511	0.204818946095939	0.289054241429964	0.355737682412861	0.290796905275598	0	0.357108526386619	0.427119807758325	0.236482961254359	0.210529206602038	0.266702371633777	0.348627634145671	0.363058548973849	0.616447007138935	0.490506720116418	0.56938114326506	0.598775263620387	0.556791038629437	0.585749588138386	0.561565601790201	0.538288350127674	0.555296249519521	0.537038053923453	0.564692154574782	0.575641096040854
x6	0.57247759309332	0.590584036785396	0.5729639950035	0.543409331118828	0.504659685145281	0.466723397246737	0.66058609566948	0.570759961020601	0.526619909688577	0.572444273635665	0.606088472254629	0.594663592193033	0.392739908527792	0.475718560408488	0.302294937959811	0.441675139457558	0.357108526386619	0	0.257667700925341	0.402446222905542	0.434039456884361	0.447934973637961	0.467935775406211	0.401465865107469	0.449219661510164	0.575946413374695	0.617826701620984	0.434854828745967	0.494310929329252	0.656651064472293	0.634748949954704	0.63727952782925	0.61005805893737	0.564324635930659	0.509264596887095	0.616563954046969
